column A,count,category,Product Listing Page,About Page,notes
mysticsheways.com,4,standalone_domain,https://mysticsheways.com/shop,https://mysticsheways.com/about,
mymysticgems.com,4,standalone_domain,https://mymysticgems.com/collections,https://mymysticgems.com/pages/about-us,
motivationalawareness.com,4,other,,,dead link
moorherbs.com,4,standalone_domain,https://moorherbs.com/,https://moorherbs.com/about-us/,
miscellaneousmagic22.com,4,standalone_domain,https://miscellaneousmagic22.as.me/schedule/395e4942/category/(2)%2520Readings%2520with%2520Mary%2520Lou?categories%5B%5D=Classes,https://www.miscellaneousmagic22.com/mary-lou-costabile,
ministryofreconciliation.world,4,other,,,interesting but only donations
mindvalley.com,4,standalone_domain,https://www.mindvalley.com/mastery/ai/about,https://www.mindvalley.com/mastery/ai/overview,
mesocandles.com,4,other,,,dead link
melanatedstore.com,4,other,,,dead link
martybarigiantoday.com,4,other,,,dead link
marthabeck.com,4,standalone_domain,https://marthabeck.com/books/,https://marthabeck.com/bio/,
mariegreenyoga.com,4,standalone_domain,https://www.mariegreenyoga.com/retreats-and-schedule,https://www.mariegreenyoga.com/about-1,
manifestationbff.com,4,standalone_domain,https://manifestationbff.com/,,subliminals
manifestaccessoriesplus.shop,4,other,,,dead link
mamamayspsychicreadingsandlifecoachingw-tabithamay.com,4,standalone_domain,https://mamamayspsychicreadingsandlifecoachingw-tabithamay.com/services,https://mamamayspsychicreadingsandlifecoachingw-tabithamay.com/about-us,
mallorykeyastrology.com,4,standalone_domain,https://mallorykeyastrology.com/services%2F-book-a-reading,,
majestichudson.com,4,standalone_domain,https://majestichudson.com/collections/shop-all-magical-goods-artisanal-gifts-healing-experiences,,
lunarastro.org,4,standalone_domain,,https://lunarastro.org/about-us-2/,
locdinhealing.com,4,standalone_domain,https://www.locdinhealing.com/plan,https://www.locdinhealing.com/about-2,
lisabeachy.com,4,standalone_domain,,,
lifeofzenergy.com,4,standalone_domain,https://lifeofzenergy.com/pricing.php,https://lifeofzenergy.com/soniabio.php,
lawofattractionblueprint.com,4,standalone_domain,https://lawofattractionblueprint.com/bundles/,,
laurahealingwithspirit.com,4,standalone_domain,https://laurahealingwithspirit.com/classes/,,
lacasaeditora.org,4,other,,,403 error
kosmicpriestess.com,4,other,,,defunct
kongolisolo.co,4,other,,,not related
kokoshungsan.net,4,standalone_domain,,,
kingdomthreadsbyamy.com,4,other,,,1001 error
kelleewhite.com,4,standalone_domain,https://kelleewhite.com/services/,https://kelleewhite.com/about/,
